consensus_module,module_mean_within,module_median_within,n_members
4,0.19085034013605442,0.19,49
1,0.18297308488612837,0.18289855072463768,70
2,0.18223513328776486,0.18289473684210528,77
3,0.18223250647908182,0.183013698630137,74
