pyo_id,original_pyov_id,syn_groups,syn_group
PYO_27,40,34;35;36;37;38;39;40;41,41
PYO_28,41,34;35;36;37;38;39;40;41,34
PYO_28,41,34;35;36;37;38;39;40;41,35
PYO_28,41,34;35;36;37;38;39;40;41,36
PYO_28,41,34;35;36;37;38;39;40;41,37
PYO_28,41,34;35;36;37;38;39;40;41,38
PYO_28,41,34;35;36;37;38;39;40;41,39
PYO_28,41,34;35;36;37;38;39;40;41,40
PYO_28,41,34;35;36;37;38;39;40;41,41
PYO_29,42,42,42
PYO_30,51,51;52,51
PYO_30,51,51;52,52
PYO_31,52,51;52,51
PYO_31,52,51;52,52
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_32,53,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_33,54,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_34,55,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_35,56,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_36,57,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_37,58,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_38,59,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_39,60,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
