module_id,n_rows,n_cols,nodf_total,nodf_rows,nodf_cols,fill_percentage
0,31,16,85.71428571428574,100.0,71.42857142857147,66.12903225806451
1,4,2,0.0,0.0,0.0,100.0
2,10,9,0.0,0.0,0.0,33.333333333333336
3,55,21,84.08512616148458,87.84174990751025,80.32850241545891,67.53246753246754
4,5,3,0.0,0.0,0.0,100.0
5,6,6,0.0,0.0,0.0,100.0
6,4,4,0.0,0.0,0.0,100.0
7,5,4,0.0,0.0,0.0,100.0
8,48,25,54.58372393043916,56.474085004372135,52.6933628565062,37.666666666666664
9,3,2,0.0,0.0,0.0,100.0
