replicate,Q,random_state,config_seed,brim_iterations,null_method,layer
90,0.0,1515068388,817878071,20000,bipartite_config_model,utilization
91,0.0,47330354,505859347,20000,bipartite_config_model,utilization
92,0.0,1814370876,1584168443,20000,bipartite_config_model,utilization
93,0.0,1488985892,772705435,20000,bipartite_config_model,utilization
94,0.0,1539739764,619912999,20000,bipartite_config_model,utilization
95,0.0,1029477023,36821918,20000,bipartite_config_model,utilization
96,0.0,1770417678,1530870772,20000,bipartite_config_model,utilization
97,0.0,496128732,890316505,20000,bipartite_config_model,utilization
98,0.0,86602937,20265613,20000,bipartite_config_model,utilization
99,0.0,274465640,204142904,20000,bipartite_config_model,utilization
100,0.0,1033474250,124015331,20000,bipartite_config_model,utilization
