replicate,Q,random_state,config_seed,brim_iterations,null_method,layer
82,0.7944134451535299,1241751366,325758918,20000,bipartite_config_model,production
83,0.8162511542012927,326979568,308105202,20000,bipartite_config_model,production
84,0.829468886246532,2026819322,821910893,20000,bipartite_config_model,production
85,0.7719268936483011,425847978,239025314,20000,bipartite_config_model,production
86,0.8055225260932752,1519501700,799883931,20000,bipartite_config_model,production
87,0.8289073853877658,1886412828,94631082,20000,bipartite_config_model,production
88,0.7930103806228374,2025375794,517067040,20000,bipartite_config_model,production
89,0.8249142857142858,1666757335,474891251,20000,bipartite_config_model,production
90,0.8183714647241886,1619785490,1412084543,20000,bipartite_config_model,production
91,0.7801469387755102,1555993322,252590083,20000,bipartite_config_model,production
92,0.8061452136289887,1823447733,1433808127,20000,bipartite_config_model,production
93,0.8270573691068864,1137127310,1179053925,20000,bipartite_config_model,production
94,0.8098824151142822,716335680,1565589116,20000,bipartite_config_model,production
95,0.8004690183643812,37736564,687220501,20000,bipartite_config_model,production
96,0.8138448979591835,197298868,1679209566,20000,bipartite_config_model,production
97,0.7976946998377502,1306248075,1017233785,20000,bipartite_config_model,production
98,0.8289734443123269,1370819066,1611146417,20000,bipartite_config_model,production
99,0.8244244897959184,1794728827,1578542949,20000,bipartite_config_model,production
100,0.8018232263178754,678659686,2047961624,20000,bipartite_config_model,production
