"strainName"
"GCF_000193595.2"
"GCF_000193615.2"
"GCF_000195675.1"
"GCF_000195695.1"
"GCF_000195715.1"
"GCF_000212975.1"
"GCF_000306945.1"
"GCF_000317935.1"
"GCF_000317955.1"
"GCF_000318015.1"
"GCF_000812165.1"
"GCF_000829175.1"
"GCF_001013565.1"
"GCF_001307525.1"
"GCF_001307565.1"
"GCF_001307585.1"
"GCF_001307605.1"
"GCF_001307625.1"
"GCF_001307645.1"
"GCF_001307665.1"
"GCF_001307685.1"
"GCF_001307705.1"
"GCF_001307725.1"
"GCF_001307745.1"
"GCF_001509895.1"
"GCF_001509915.1"
"GCF_001559055.1"
"GCF_001605035.1"
"GCF_001605055.1"
"GCF_001605075.1"
"GCF_001605095.1"
"GCF_001605115.1"
"GCF_001605135.1"
"GCF_001605155.1"
"GCF_001605175.1"
"GCF_001605195.1"
"GCF_001605215.1"
"GCF_001605235.1"
"GCF_001605255.1"
"GCF_001605275.1"
"GCF_001605295.1"
"GCF_001605345.1"
"GCF_001605365.1"
"GCF_001605385.1"
"GCF_001605405.1"
"GCF_001605425.1"
"GCF_001605445.1"
"GCF_001605465.1"
"GCF_001605485.1"
"GCF_001605505.1"
"GCF_001605525.1"
"GCF_001605545.1"
"GCF_001605565.1"
"GCF_001605585.1"
"GCF_001605605.1"
"GCF_001605625.1"
"GCF_001605645.1"
"GCF_001605665.1"
"GCF_001605685.1"
"GCF_001628735.1"
"GCF_001686365.1"
"GCF_001686425.1"
"GCF_001686445.1"
"GCF_001686465.1"
"GCF_001686485.1"
"GCF_001686505.1"
"GCF_001686525.1"
"GCF_001686545.1"
"GCF_001686565.1"
"GCF_001686585.1"
"GCF_001686605.1"
"GCF_001686625.1"
"GCF_001687385.1"
"GCF_001687405.1"
"GCF_001704255.1"
"GCF_001704355.1"
"GCF_001831395.1"
"GCF_001831415.1"
"GCF_001831435.1"
"GCF_001831455.1"
"GCF_001984925.1"
"GCF_001984945.1"
"GCF_001984965.1"
"GCF_001984985.1"
"GCF_001985005.1"
"GCF_001985025.1"
"GCF_001985045.1"
"GCF_001985065.1"
"GCF_001985085.1"
"GCF_001985105.1"
"GCF_001985125.1"
"GCF_001985145.1"
"GCF_001985165.1"
"GCF_001985205.1"
"GCF_001985225.1"
"GCF_001985245.1"
"GCF_001985265.1"
"GCF_001985285.1"
"GCF_001985305.1"
"GCF_001985325.1"
"GCF_001985345.1"
"GCF_001985365.1"
"GCF_001985385.1"
"GCF_001985405.1"
"GCF_001985425.1"
"GCF_001985445.1"
"GCF_001985465.1"
"GCF_001985485.1"
"GCF_001985505.1"
"GCF_001985525.1"
"GCF_001985545.1"
"GCF_001985565.1"
"GCF_001985585.1"
"GCF_001985605.1"
"GCF_001985625.1"
"GCF_001985645.1"
"GCF_001985665.1"
"GCF_001985685.1"
"GCF_001985705.1"
"GCF_001985725.1"
"GCF_001985745.1"
"GCF_001985765.1"
"GCF_001985785.1"
"GCF_001985805.1"
"GCF_001985825.1"
"GCF_001985845.1"
"GCF_001985865.1"
"GCF_001985885.1"
"GCF_001985905.1"
"GCF_001985925.1"
"GCF_001985945.1"
"GCF_001985965.1"
"GCF_001985985.1"
"GCF_001986005.1"
"GCF_001986025.1"
"GCF_001986045.1"
"GCF_001986065.1"
"GCF_001986085.1"
"GCF_001986105.1"
"GCF_001986155.1"
"GCF_001986175.1"
"GCF_001986195.1"
"GCF_001986215.1"
"GCF_001986235.1"
"GCF_001986255.1"
"GCF_001986275.1"
"GCF_001986295.1"
"GCF_001986315.1"
"GCF_001986335.1"
"GCF_001986355.1"
"GCF_001986375.1"
"GCF_001986415.1"
"GCF_001986435.1"
"GCF_001986455.1"
"GCF_001986475.1"
"GCF_001986495.1"
"GCF_001986515.1"
"GCF_001986535.1"
"GCF_001986555.1"
"GCF_001986575.1"
"GCF_001986595.1"
"GCF_001986615.1"
"GCF_001986635.1"
"GCF_001986655.1"
"GCF_001986675.1"
"GCF_001986695.1"
"GCF_001986715.1"
"GCF_001986735.1"
"GCF_001986755.1"
"GCF_001986775.1"
"GCF_001986795.1"
"GCF_001986815.1"
"GCF_001986835.1"
"GCF_001986855.1"
"GCF_001986875.1"
"GCF_001986895.1"
"GCF_001986915.1"
"GCF_001986935.1"
"GCF_001986955.1"
"GCF_001986975.1"
"GCF_001986995.1"
"GCF_001987015.1"
"GCF_001987035.1"
"GCF_001987055.1"
"GCF_001987075.1"
"GCF_001987095.1"
"GCF_001987115.1"
"GCF_001987135.1"
"GCF_001987155.1"
"GCF_001987175.1"
"GCF_001987195.1"
"GCF_001987215.1"
"GCF_001987235.1"
"GCF_001987255.1"
"GCF_001987275.1"
"GCF_001987295.1"
"GCF_001987315.1"
"GCF_001987335.1"
"GCF_001987355.1"
"GCF_001987375.1"
"GCF_001987395.1"
"GCF_001987415.1"
"GCF_001987435.1"
"GCF_001987455.1"
"GCF_001987475.1"
"GCF_001987495.1"
"GCF_001987515.1"
"GCF_001987535.1"
"GCF_001987555.1"
"GCF_001987575.1"
"GCF_001987595.1"
"GCF_001987615.1"
"GCF_001987635.1"
"GCF_001987655.1"
"GCF_001987675.1"
"GCF_001987695.1"
"GCF_001987715.1"
"GCF_001987735.1"
"GCF_001987755.1"
"GCF_001987775.1"
"GCF_001987795.1"
"GCF_001987815.1"
"GCF_001987835.1"
"GCF_001987855.1"
"GCF_001987875.1"
"GCF_001987895.1"
"GCF_001987915.1"
"GCF_001987935.1"
"GCF_001987955.1"
"GCF_001987975.1"
"GCF_001987995.1"
"GCF_001988015.1"
"GCF_001988035.1"
"GCF_001988055.1"
"GCF_001988075.1"
"GCF_001988095.1"
"GCF_001988115.1"
"GCF_001988135.1"
"GCF_001988155.1"
"GCF_001988175.1"
"GCF_001988195.1"
"GCF_001988215.1"
"GCF_001988235.1"
"GCF_001988255.1"
"GCF_001988275.1"
"GCF_001988295.1"
"GCF_001988315.1"
"GCF_001988335.1"
"GCF_001988355.1"
"GCF_001988375.1"
"GCF_001988395.1"
"GCF_001988415.1"
"GCF_001988435.1"
"GCF_001988455.1"
"GCF_001988475.1"
"GCF_001988495.1"
"GCF_001988515.1"
"GCF_001988535.1"
"GCF_001988555.1"
"GCF_001988575.1"
"GCF_001988595.1"
"GCF_001988615.1"
"GCF_001988635.1"
"GCF_001988655.1"
"GCF_001988675.1"
"GCF_001988695.1"
"GCF_001988715.1"
"GCF_001988735.1"
"GCF_001988755.1"
"GCF_001988775.1"
"GCF_001988795.1"
"GCF_001988815.1"
"GCF_001988835.1"
"GCF_001988855.1"
"GCF_001988875.1"
"GCF_001988895.1"
"GCF_001988915.1"
"GCF_001988995.1"
"GCF_001989015.1"
"GCF_001989035.1"
"GCF_001989055.1"
"GCF_001989075.1"
"GCF_001989095.1"
"GCF_001989115.1"
"GCF_001989135.1"
"GCF_001989155.1"
"GCF_001989175.1"
"GCF_001989195.1"
"GCF_001989215.1"
"GCF_001989235.1"
"GCF_001989255.1"
"GCF_001989275.1"
"GCF_001989295.1"
"GCF_001989315.1"
