"node_id","consensus_module","mean_within","median_within","sd_within"
"PYO_10",187,NA,NA,NA
"PYO_11",188,NA,NA,NA
"PYO_12",189,NA,NA,NA
"PYO_13",190,NA,NA,NA
"PYO_14",191,NA,NA,NA
"PYO_15",192,NA,NA,NA
"PYO_16",193,NA,NA,NA
"PYO_17",194,NA,NA,NA
"PYO_18",195,NA,NA,NA
"PYO_19",196,NA,NA,NA
"PYO_20",197,NA,NA,NA
"PYO_21",198,NA,NA,NA
"PYO_22",199,NA,NA,NA
"PYO_23",200,NA,NA,NA
"PYO_24",201,NA,NA,NA
"PYO_25",202,NA,NA,NA
"PYO_26",203,NA,NA,NA
"PYO_27",204,NA,NA,NA
"PYO_28",205,NA,NA,NA
"PYO_29",206,NA,NA,NA
"PYO_30",207,NA,NA,NA
"PYO_31",208,NA,NA,NA
"PYO_32",209,NA,NA,NA
"PYO_33",210,NA,NA,NA
"PYO_34",211,NA,NA,NA
"PYO_35",212,NA,NA,NA
"PYO_36",213,NA,NA,NA
"PYO_37",214,NA,NA,NA
"PYO_38",215,NA,NA,NA
"PYO_39",216,NA,NA,NA
"PYO_40",217,NA,NA,NA
"PYO_41",218,NA,NA,NA
"PYO_42",219,NA,NA,NA
"PYO_43",220,NA,NA,NA
"PYO_44",221,NA,NA,NA
"PYO_45",222,NA,NA,NA
"PYO_46",223,NA,NA,NA
"PYO_47",224,NA,NA,NA
"PYO_48",225,NA,NA,NA
"PYO_49",226,NA,NA,NA
"PYO_50",227,NA,NA,NA
"PYO_51",228,NA,NA,NA
"PYO_52",229,NA,NA,NA
"PYO_53",230,NA,NA,NA
"PYO_54",231,NA,NA,NA
"PYO_55",232,NA,NA,NA
"PYO_56",233,NA,NA,NA
"PYO_57",234,NA,NA,NA
"PYO_58",235,NA,NA,NA
"PYO_59",236,NA,NA,NA
"PYO_60",237,NA,NA,NA
"PYO_61",238,NA,NA,NA
"PYO_62",239,NA,NA,NA
"PYO_63",240,NA,NA,NA
"PYO_64",241,NA,NA,NA
"PYO_65",242,NA,NA,NA
"PYO_66",243,NA,NA,NA
"PYO_67",244,NA,NA,NA
"PYO_68",245,NA,NA,NA
"PYO_69",246,NA,NA,NA
"PYO_70",247,NA,NA,NA
"PYO_71",248,NA,NA,NA
"PYO_72",249,NA,NA,NA
"PYO_73",250,NA,NA,NA
"PYO_74",251,NA,NA,NA
"PYO_75",252,NA,NA,NA
"PYO_76",253,NA,NA,NA
"PYO_77",254,NA,NA,NA
"PYO_78",255,NA,NA,NA
"PYO_79",256,NA,NA,NA
"PYO_80",257,NA,NA,NA
"PYO_81",258,NA,NA,NA
"PYO_82",259,NA,NA,NA
"PYO_83",260,NA,NA,NA
"PYO_84",261,NA,NA,NA
"PYO_85",262,NA,NA,NA
"PYO_86",263,NA,NA,NA
"PYO_87",264,NA,NA,NA
"PYO_88",265,NA,NA,NA
"PYO_89",266,NA,NA,NA
"PYO_90",267,NA,NA,NA
"PYO_91",268,NA,NA,NA
"PYO_92",269,NA,NA,NA
"PYO_93",270,NA,NA,NA
