"pair","ARI"
"rep1_rep2",0.11601575232304
"rep1_rep3",0.094992167777444
"rep1_rep4",0.127507419234542
"rep1_rep5",0.16002267069164
"rep1_rep6",0.139123671387123
"rep1_rep7",0.148356639433173
"rep1_rep8",0.105235456619663
"rep1_rep9",0.138345836386908
"rep1_rep10",0.0944551609162851
"rep1_rep11",0.138345836386908
"rep1_rep12",0.0944551609162851
"rep1_rep13",0.170861087844006
"rep1_rep14",0.0944551609162851
"rep1_rep15",0.138345836386908
"rep1_rep16",0.137576343729795
"rep1_rep17",0.138345836386908
"rep1_rep18",0.181699504996371
"rep1_rep19",0.0841537506250781
"rep1_rep20",0.139123671387123
"rep2_rep3",0.16002267069164
"rep2_rep4",0.16002267069164
"rep2_rep5",0.10583058492981
"rep2_rep6",0.0737406590874105
"rep2_rep7",0.137576343729795
"rep2_rep8",0.11601575232304
"rep2_rep9",0.0841537506250781
"rep2_rep10",0.105235456619663
"rep2_rep11",0.138345836386908
"rep2_rep12",0.137576343729795
"rep2_rep13",0.0733153334727121
"rep2_rep14",0.11601575232304
"rep2_rep15",0.16002267069164
"rep2_rep16",0.11601575232304
"rep2_rep17",0.127507419234542
"rep2_rep18",0.16002267069164
"rep2_rep19",0.0841537506250781
"rep2_rep20",0.150020840103741
"rep3_rep4",0.11732906908774
"rep3_rep5",0.0737403811414559
"rep3_rep6",0.0960831968979474
"rep3_rep7",0.149184253539274
"rep3_rep8",0.0516384991679802
"rep3_rep9",0.0955347251145981
"rep3_rep10",0.170861087844006
"rep3_rep11",0.106431897101169
"rep3_rep12",0.16002267069164
"rep3_rep13",0.139123413060883
"rep3_rep14",0.094992167777444
"rep3_rep15",0.084637553128027
"rep3_rep16",0.149184253539274
"rep3_rep17",0.0737403811414559
"rep3_rep18",0.128226241074311
"rep3_rep19",0.0955347251145981
"rep3_rep20",0.139909466139259
"rep4_rep5",0.193609272993738
"rep4_rep6",0.0851266295876194
"rep4_rep7",0.116669002082176
"rep4_rep8",0.10583058492981
"rep4_rep9",0.11732906908774
"rep4_rep10",0.138345836386908
"rep4_rep11",0.106431897101169
"rep4_rep12",0.214214756453469
"rep4_rep13",0.106431897101169
"rep4_rep14",0.149184253539274
"rep4_rep15",0.11732906908774
"rep4_rep16",0.0624769163203462
"rep4_rep17",0.150020585047454
"rep4_rep18",0.128226241074311
"rep4_rep19",0.150020585047454
"rep4_rep20",0.0960831968979474
"rep5_rep6",0.0960831968979474
"rep5_rep7",0.116669002082176
"rep5_rep8",0.149184253539274
"rep5_rep9",0.0737403811414559
"rep5_rep10",0.170861087844006
"rep5_rep11",0.128226241074311
"rep5_rep12",0.170861087844006
"rep5_rep13",0.0955347251145981
"rep5_rep14",0.10583058492981
"rep5_rep15",0.128226241074311
"rep5_rep16",0.0841537506250781
"rep5_rep17",0.171814929020596
"rep5_rep18",0.160917757034025
"rep5_rep19",0.11732906908774
"rep5_rep20",0.172779168070243
"rep6_rep7",0.106432165237267
"rep6_rep8",0.0846378278040292
"rep6_rep9",0.128952898828931
"rep6_rep10",0.0737406590874105
"rep6_rep11",0.172779168070243
"rep6_rep12",0.117329333953885
"rep6_rep13",0.117996331518603
"rep6_rep14",0.150020840103741
"rep6_rep15",0.117996331518603
"rep6_rep16",0.16091800882036
"rep6_rep17",0.227562004621882
"rep6_rep18",0.128952898828931
"rep6_rep19",0.128952898828931
"rep6_rep20",0.140703874305906
"rep7_rep8",0.137576343729795
"rep7_rep9",0.127507419234542
"rep7_rep10",0.148356639433173
"rep7_rep11",0.181699504996371
"rep7_rep12",0.11601575232304
"rep7_rep13",0.127507419234542
"rep7_rep14",0.11601575232304
"rep7_rep15",0.16002267069164
"rep7_rep16",0.169917230839928
"rep7_rep17",0.127507419234542
"rep7_rep18",0.094992167777444
"rep7_rep19",0.0841537506250781
"rep7_rep20",0.182712346253598
"rep8_rep9",0.0841537506250781
"rep8_rep10",0.169917230839928
"rep8_rep11",0.170861087844006
"rep8_rep12",0.126796048026418
"rep8_rep13",0.0733153334727121
"rep8_rep14",0.169917230839928
"rep8_rep15",0.0624769163203462
"rep8_rep16",0.126796048026418
"rep8_rep17",0.127507419234542
"rep8_rep18",0.0624769163203462
"rep8_rep19",0.127507419234542
"rep8_rep20",0.106432165237267
