source,target,source_type,target_type,edge_type
STR_0263,PYO_12,strain,pyoverdine,production
STR_0264,PYO_12,strain,pyoverdine,production
STR_0267,PYO_12,strain,pyoverdine,production
STR_0268,PYO_12,strain,pyoverdine,production
STR_0269,PYO_12,strain,pyoverdine,production
STR_0299,PYO_12,strain,pyoverdine,production
STR_0300,PYO_12,strain,pyoverdine,production
STR_0301,PYO_12,strain,pyoverdine,production
STR_0302,PYO_12,strain,pyoverdine,production
STR_0320,PYO_12,strain,pyoverdine,production
STR_0321,PYO_12,strain,pyoverdine,production
STR_0322,PYO_12,strain,pyoverdine,production
STR_0323,PYO_12,strain,pyoverdine,production
STR_0324,PYO_12,strain,pyoverdine,production
STR_0325,PYO_12,strain,pyoverdine,production
STR_0326,PYO_12,strain,pyoverdine,production
STR_0327,PYO_12,strain,pyoverdine,production
STR_0328,PYO_12,strain,pyoverdine,production
STR_0329,PYO_12,strain,pyoverdine,production
STR_0330,PYO_12,strain,pyoverdine,production
STR_0331,PYO_12,strain,pyoverdine,production
STR_0332,PYO_12,strain,pyoverdine,production
STR_0333,PYO_12,strain,pyoverdine,production
STR_0334,PYO_12,strain,pyoverdine,production
STR_0335,PYO_12,strain,pyoverdine,production
STR_0336,PYO_12,strain,pyoverdine,production
STR_0337,PYO_12,strain,pyoverdine,production
STR_0338,PYO_12,strain,pyoverdine,production
STR_0339,PYO_12,strain,pyoverdine,production
STR_0340,PYO_12,strain,pyoverdine,production
STR_0341,PYO_12,strain,pyoverdine,production
STR_0342,PYO_12,strain,pyoverdine,production
STR_0343,PYO_12,strain,pyoverdine,production
STR_0344,PYO_12,strain,pyoverdine,production
STR_0345,PYO_12,strain,pyoverdine,production
STR_0346,PYO_12,strain,pyoverdine,production
STR_0347,PYO_12,strain,pyoverdine,production
STR_0348,PYO_12,strain,pyoverdine,production
STR_0349,PYO_12,strain,pyoverdine,production
STR_0350,PYO_12,strain,pyoverdine,production
STR_0351,PYO_12,strain,pyoverdine,production
STR_0352,PYO_12,strain,pyoverdine,production
STR_0353,PYO_12,strain,pyoverdine,production
STR_0354,PYO_12,strain,pyoverdine,production
STR_0355,PYO_12,strain,pyoverdine,production
STR_0356,PYO_12,strain,pyoverdine,production
STR_0357,PYO_12,strain,pyoverdine,production
STR_0358,PYO_12,strain,pyoverdine,production
STR_0359,PYO_12,strain,pyoverdine,production
STR_0360,PYO_12,strain,pyoverdine,production
STR_0361,PYO_12,strain,pyoverdine,production
STR_0362,PYO_12,strain,pyoverdine,production
STR_0363,PYO_12,strain,pyoverdine,production
STR_0364,PYO_12,strain,pyoverdine,production
STR_0365,PYO_12,strain,pyoverdine,production
STR_0366,PYO_12,strain,pyoverdine,production
STR_0367,PYO_12,strain,pyoverdine,production
STR_0368,PYO_12,strain,pyoverdine,production
STR_0369,PYO_12,strain,pyoverdine,production
STR_0370,PYO_12,strain,pyoverdine,production
STR_0371,PYO_12,strain,pyoverdine,production
STR_0372,PYO_12,strain,pyoverdine,production
STR_0373,PYO_12,strain,pyoverdine,production
STR_0374,PYO_12,strain,pyoverdine,production
STR_0375,PYO_12,strain,pyoverdine,production
STR_0376,PYO_12,strain,pyoverdine,production
STR_0377,PYO_12,strain,pyoverdine,production
STR_0378,PYO_12,strain,pyoverdine,production
STR_0379,PYO_12,strain,pyoverdine,production
STR_0380,PYO_12,strain,pyoverdine,production
STR_0381,PYO_12,strain,pyoverdine,production
STR_0382,PYO_12,strain,pyoverdine,production
STR_0383,PYO_12,strain,pyoverdine,production
STR_0384,PYO_12,strain,pyoverdine,production
STR_0385,PYO_12,strain,pyoverdine,production
STR_0386,PYO_12,strain,pyoverdine,production
STR_0387,PYO_12,strain,pyoverdine,production
STR_0388,PYO_12,strain,pyoverdine,production
STR_0389,PYO_12,strain,pyoverdine,production
STR_0390,PYO_12,strain,pyoverdine,production
STR_0391,PYO_12,strain,pyoverdine,production
STR_0392,PYO_12,strain,pyoverdine,production
STR_0393,PYO_12,strain,pyoverdine,production
STR_0394,PYO_12,strain,pyoverdine,production
STR_0395,PYO_12,strain,pyoverdine,production
STR_0396,PYO_12,strain,pyoverdine,production
STR_0397,PYO_12,strain,pyoverdine,production
STR_0398,PYO_12,strain,pyoverdine,production
STR_0399,PYO_12,strain,pyoverdine,production
STR_0400,PYO_12,strain,pyoverdine,production
STR_0401,PYO_12,strain,pyoverdine,production
STR_0402,PYO_12,strain,pyoverdine,production
STR_0403,PYO_12,strain,pyoverdine,production
STR_0404,PYO_12,strain,pyoverdine,production
STR_0405,PYO_12,strain,pyoverdine,production
STR_0406,PYO_12,strain,pyoverdine,production
STR_0407,PYO_12,strain,pyoverdine,production
STR_0408,PYO_12,strain,pyoverdine,production
STR_0409,PYO_12,strain,pyoverdine,production
STR_0410,PYO_12,strain,pyoverdine,production
STR_0411,PYO_12,strain,pyoverdine,production
STR_0412,PYO_12,strain,pyoverdine,production
STR_0413,PYO_12,strain,pyoverdine,production
STR_0414,PYO_12,strain,pyoverdine,production
STR_0415,PYO_12,strain,pyoverdine,production
STR_0416,PYO_12,strain,pyoverdine,production
STR_0417,PYO_12,strain,pyoverdine,production
STR_0418,PYO_12,strain,pyoverdine,production
STR_0419,PYO_12,strain,pyoverdine,production
STR_0420,PYO_12,strain,pyoverdine,production
STR_0421,PYO_12,strain,pyoverdine,production
STR_0422,PYO_12,strain,pyoverdine,production
STR_0423,PYO_12,strain,pyoverdine,production
STR_0424,PYO_12,strain,pyoverdine,production
STR_0425,PYO_12,strain,pyoverdine,production
STR_0426,PYO_12,strain,pyoverdine,production
STR_0427,PYO_12,strain,pyoverdine,production
STR_0428,PYO_12,strain,pyoverdine,production
STR_0429,PYO_12,strain,pyoverdine,production
STR_0430,PYO_12,strain,pyoverdine,production
STR_0431,PYO_12,strain,pyoverdine,production
STR_0432,PYO_12,strain,pyoverdine,production
STR_0433,PYO_12,strain,pyoverdine,production
STR_0434,PYO_12,strain,pyoverdine,production
STR_0435,PYO_12,strain,pyoverdine,production
STR_0436,PYO_12,strain,pyoverdine,production
STR_0437,PYO_12,strain,pyoverdine,production
STR_0438,PYO_12,strain,pyoverdine,production
STR_0439,PYO_12,strain,pyoverdine,production
STR_0440,PYO_12,strain,pyoverdine,production
STR_0441,PYO_12,strain,pyoverdine,production
STR_0442,PYO_12,strain,pyoverdine,production
STR_0443,PYO_12,strain,pyoverdine,production
STR_0444,PYO_12,strain,pyoverdine,production
STR_0445,PYO_12,strain,pyoverdine,production
STR_0446,PYO_12,strain,pyoverdine,production
STR_0447,PYO_12,strain,pyoverdine,production
STR_0448,PYO_12,strain,pyoverdine,production
STR_0449,PYO_12,strain,pyoverdine,production
STR_0450,PYO_12,strain,pyoverdine,production
STR_0451,PYO_12,strain,pyoverdine,production
STR_0452,PYO_12,strain,pyoverdine,production
STR_0453,PYO_12,strain,pyoverdine,production
STR_0454,PYO_12,strain,pyoverdine,production
STR_0455,PYO_12,strain,pyoverdine,production
STR_0456,PYO_12,strain,pyoverdine,production
STR_0457,PYO_12,strain,pyoverdine,production
STR_0458,PYO_12,strain,pyoverdine,production
STR_0459,PYO_12,strain,pyoverdine,production
STR_0460,PYO_12,strain,pyoverdine,production
STR_0461,PYO_12,strain,pyoverdine,production
STR_0462,PYO_12,strain,pyoverdine,production
STR_0463,PYO_12,strain,pyoverdine,production
STR_0464,PYO_12,strain,pyoverdine,production
STR_0465,PYO_12,strain,pyoverdine,production
STR_0466,PYO_12,strain,pyoverdine,production
STR_0467,PYO_12,strain,pyoverdine,production
STR_0468,PYO_12,strain,pyoverdine,production
STR_0469,PYO_12,strain,pyoverdine,production
STR_0470,PYO_12,strain,pyoverdine,production
STR_0471,PYO_12,strain,pyoverdine,production
STR_0472,PYO_12,strain,pyoverdine,production
STR_0473,PYO_12,strain,pyoverdine,production
STR_0474,PYO_12,strain,pyoverdine,production
STR_0475,PYO_12,strain,pyoverdine,production
STR_0476,PYO_12,strain,pyoverdine,production
STR_0477,PYO_12,strain,pyoverdine,production
STR_0478,PYO_12,strain,pyoverdine,production
STR_0479,PYO_12,strain,pyoverdine,production
STR_0480,PYO_12,strain,pyoverdine,production
STR_0481,PYO_12,strain,pyoverdine,production
STR_0482,PYO_12,strain,pyoverdine,production
STR_0483,PYO_12,strain,pyoverdine,production
STR_0484,PYO_12,strain,pyoverdine,production
STR_0485,PYO_12,strain,pyoverdine,production
STR_0486,PYO_12,strain,pyoverdine,production
STR_0487,PYO_12,strain,pyoverdine,production
STR_0488,PYO_12,strain,pyoverdine,production
STR_0489,PYO_12,strain,pyoverdine,production
STR_0490,PYO_12,strain,pyoverdine,production
STR_0491,PYO_12,strain,pyoverdine,production
STR_0492,PYO_12,strain,pyoverdine,production
STR_0493,PYO_12,strain,pyoverdine,production
STR_0494,PYO_12,strain,pyoverdine,production
STR_0495,PYO_12,strain,pyoverdine,production
STR_0496,PYO_12,strain,pyoverdine,production
STR_0497,PYO_12,strain,pyoverdine,production
STR_0498,PYO_12,strain,pyoverdine,production
STR_0499,PYO_12,strain,pyoverdine,production
STR_0500,PYO_12,strain,pyoverdine,production
STR_0501,PYO_12,strain,pyoverdine,production
STR_0502,PYO_12,strain,pyoverdine,production
STR_0503,PYO_12,strain,pyoverdine,production
STR_0504,PYO_12,strain,pyoverdine,production
STR_0505,PYO_12,strain,pyoverdine,production
STR_0506,PYO_12,strain,pyoverdine,production
STR_0507,PYO_12,strain,pyoverdine,production
STR_0508,PYO_12,strain,pyoverdine,production
STR_0509,PYO_12,strain,pyoverdine,production
STR_0510,PYO_12,strain,pyoverdine,production
STR_0511,PYO_12,strain,pyoverdine,production
STR_0512,PYO_12,strain,pyoverdine,production
STR_0513,PYO_12,strain,pyoverdine,production
STR_0514,PYO_12,strain,pyoverdine,production
STR_0515,PYO_12,strain,pyoverdine,production
STR_0516,PYO_12,strain,pyoverdine,production
STR_0517,PYO_12,strain,pyoverdine,production
STR_0518,PYO_12,strain,pyoverdine,production
STR_0519,PYO_12,strain,pyoverdine,production
STR_0520,PYO_12,strain,pyoverdine,production
STR_0521,PYO_12,strain,pyoverdine,production
STR_0522,PYO_12,strain,pyoverdine,production
STR_0523,PYO_12,strain,pyoverdine,production
STR_0524,PYO_12,strain,pyoverdine,production
STR_0525,PYO_12,strain,pyoverdine,production
STR_0526,PYO_12,strain,pyoverdine,production
STR_0527,PYO_12,strain,pyoverdine,production
STR_0528,PYO_12,strain,pyoverdine,production
STR_0529,PYO_12,strain,pyoverdine,production
STR_0530,PYO_12,strain,pyoverdine,production
STR_0531,PYO_12,strain,pyoverdine,production
STR_0532,PYO_12,strain,pyoverdine,production
STR_0533,PYO_12,strain,pyoverdine,production
STR_0534,PYO_12,strain,pyoverdine,production
STR_0541,PYO_12,strain,pyoverdine,production
STR_0542,PYO_12,strain,pyoverdine,production
STR_0544,PYO_12,strain,pyoverdine,production
STR_0545,PYO_12,strain,pyoverdine,production
STR_0546,PYO_12,strain,pyoverdine,production
STR_0570,PYO_12,strain,pyoverdine,production
STR_0571,PYO_12,strain,pyoverdine,production
STR_0572,PYO_12,strain,pyoverdine,production
STR_0575,PYO_12,strain,pyoverdine,production
STR_0576,PYO_12,strain,pyoverdine,production
STR_0577,PYO_12,strain,pyoverdine,production
STR_0578,PYO_12,strain,pyoverdine,production
STR_0579,PYO_12,strain,pyoverdine,production
STR_0580,PYO_12,strain,pyoverdine,production
STR_0581,PYO_12,strain,pyoverdine,production
STR_0582,PYO_12,strain,pyoverdine,production
STR_0583,PYO_12,strain,pyoverdine,production
STR_0584,PYO_12,strain,pyoverdine,production
STR_0585,PYO_12,strain,pyoverdine,production
STR_0586,PYO_12,strain,pyoverdine,production
STR_0587,PYO_12,strain,pyoverdine,production
STR_0588,PYO_12,strain,pyoverdine,production
STR_0589,PYO_12,strain,pyoverdine,production
STR_0590,PYO_12,strain,pyoverdine,production
STR_0591,PYO_12,strain,pyoverdine,production
STR_0592,PYO_12,strain,pyoverdine,production
STR_0609,PYO_12,strain,pyoverdine,production
STR_0610,PYO_12,strain,pyoverdine,production
STR_0611,PYO_12,strain,pyoverdine,production
STR_0612,PYO_12,strain,pyoverdine,production
STR_0613,PYO_12,strain,pyoverdine,production
STR_0614,PYO_12,strain,pyoverdine,production
STR_0615,PYO_12,strain,pyoverdine,production
STR_0616,PYO_12,strain,pyoverdine,production
STR_0617,PYO_12,strain,pyoverdine,production
STR_0624,PYO_12,strain,pyoverdine,production
STR_0625,PYO_12,strain,pyoverdine,production
STR_0626,PYO_12,strain,pyoverdine,production
STR_0627,PYO_12,strain,pyoverdine,production
STR_0628,PYO_12,strain,pyoverdine,production
STR_0629,PYO_12,strain,pyoverdine,production
STR_0630,PYO_12,strain,pyoverdine,production
STR_0631,PYO_12,strain,pyoverdine,production
STR_0632,PYO_12,strain,pyoverdine,production
STR_0633,PYO_12,strain,pyoverdine,production
STR_0634,PYO_12,strain,pyoverdine,production
STR_0635,PYO_12,strain,pyoverdine,production
STR_0636,PYO_12,strain,pyoverdine,production
STR_0637,PYO_12,strain,pyoverdine,production
STR_0638,PYO_12,strain,pyoverdine,production
STR_0639,PYO_12,strain,pyoverdine,production
STR_0640,PYO_12,strain,pyoverdine,production
STR_0641,PYO_12,strain,pyoverdine,production
STR_0642,PYO_12,strain,pyoverdine,production
STR_0643,PYO_12,strain,pyoverdine,production
STR_0644,PYO_12,strain,pyoverdine,production
STR_0645,PYO_12,strain,pyoverdine,production
STR_0646,PYO_12,strain,pyoverdine,production
STR_0647,PYO_12,strain,pyoverdine,production
STR_0648,PYO_12,strain,pyoverdine,production
STR_0651,PYO_12,strain,pyoverdine,production
STR_0652,PYO_12,strain,pyoverdine,production
STR_0653,PYO_12,strain,pyoverdine,production
STR_0654,PYO_12,strain,pyoverdine,production
STR_0655,PYO_12,strain,pyoverdine,production
STR_0656,PYO_12,strain,pyoverdine,production
STR_0658,PYO_12,strain,pyoverdine,production
STR_0671,PYO_12,strain,pyoverdine,production
STR_0673,PYO_12,strain,pyoverdine,production
STR_0674,PYO_12,strain,pyoverdine,production
STR_0675,PYO_12,strain,pyoverdine,production
STR_0676,PYO_12,strain,pyoverdine,production
STR_0677,PYO_12,strain,pyoverdine,production
STR_0678,PYO_12,strain,pyoverdine,production
STR_0679,PYO_12,strain,pyoverdine,production
STR_0680,PYO_12,strain,pyoverdine,production
STR_0681,PYO_12,strain,pyoverdine,production
STR_0682,PYO_12,strain,pyoverdine,production
STR_0683,PYO_12,strain,pyoverdine,production
STR_0690,PYO_12,strain,pyoverdine,production
STR_0691,PYO_12,strain,pyoverdine,production
STR_0692,PYO_12,strain,pyoverdine,production
STR_0693,PYO_12,strain,pyoverdine,production
STR_0697,PYO_12,strain,pyoverdine,production
STR_0698,PYO_12,strain,pyoverdine,production
STR_0743,PYO_12,strain,pyoverdine,production
STR_0744,PYO_12,strain,pyoverdine,production
STR_0747,PYO_12,strain,pyoverdine,production
STR_0748,PYO_12,strain,pyoverdine,production
STR_0749,PYO_12,strain,pyoverdine,production
STR_0753,PYO_12,strain,pyoverdine,production
