source,target,source_type,target_type,edge_type
FG_126,PYO_62,functional_group,pyoverdine,production
FG_141,PYO_63,functional_group,pyoverdine,production
FG_137,PYO_64,functional_group,pyoverdine,production
FG_051,PYO_65,functional_group,pyoverdine,production
FG_059,PYO_66,functional_group,pyoverdine,production
FG_147,PYO_66,functional_group,pyoverdine,production
FG_121,PYO_67,functional_group,pyoverdine,production
FG_125,PYO_67,functional_group,pyoverdine,production
FG_060,PYO_68,functional_group,pyoverdine,production
FG_061,PYO_69,functional_group,pyoverdine,production
FG_062,PYO_70,functional_group,pyoverdine,production
FG_063,PYO_71,functional_group,pyoverdine,production
FG_071,PYO_72,functional_group,pyoverdine,production
FG_064,PYO_73,functional_group,pyoverdine,production
FG_065,PYO_73,functional_group,pyoverdine,production
FG_066,PYO_74,functional_group,pyoverdine,production
FG_076,PYO_75,functional_group,pyoverdine,production
FG_084,PYO_76,functional_group,pyoverdine,production
FG_085,PYO_77,functional_group,pyoverdine,production
FG_086,PYO_77,functional_group,pyoverdine,production
FG_087,PYO_78,functional_group,pyoverdine,production
FG_088,PYO_79,functional_group,pyoverdine,production
FG_089,PYO_79,functional_group,pyoverdine,production
FG_090,PYO_80,functional_group,pyoverdine,production
FG_091,PYO_80,functional_group,pyoverdine,production
FG_092,PYO_80,functional_group,pyoverdine,production
FG_093,PYO_81,functional_group,pyoverdine,production
FG_163,PYO_81,functional_group,pyoverdine,production
FG_094,PYO_82,functional_group,pyoverdine,production
FG_095,PYO_83,functional_group,pyoverdine,production
FG_096,PYO_84,functional_group,pyoverdine,production
FG_097,PYO_85,functional_group,pyoverdine,production
FG_098,PYO_86,functional_group,pyoverdine,production
FG_099,PYO_87,functional_group,pyoverdine,production
FG_100,PYO_88,functional_group,pyoverdine,production
FG_101,PYO_88,functional_group,pyoverdine,production
FG_109,PYO_88,functional_group,pyoverdine,production
FG_172,PYO_88,functional_group,pyoverdine,production
FG_102,PYO_89,functional_group,pyoverdine,production
FG_103,PYO_90,functional_group,pyoverdine,production
FG_138,PYO_90,functional_group,pyoverdine,production
FG_139,PYO_90,functional_group,pyoverdine,production
